id,date_time,item_id,cost,revenue,profit
1,2018-04-18 0:00:01,1,3.5,10,6.5
2,2018-04-18 0:00:01,1,3.8,9.8,6.0
3,2018-04-18 0:00:02,3,5,4.9,-0.1
4,2018-04-18 0:00:02,3,8,12,4.0
5,2018-04-18 0:00:01,2,2,9.5,7.5
6,2018-04-18 0:00:01,2,8,9.2,1.2
7,2018-04-18 0:00:02,8,12,4.7,-7.3
8,2018-04-18 0:00:04,1,3,3.4,0.4
9,2018-04-18 0:00:01,1,0,9,9.0
10,2018-04-17 0:00:02,2,4.3,1.2,-3.1
11,2018-04-18 0:00:01,2,7.7,4.1,-3.6
12,2018-04-18 0:00:01,3,9.2,9.4,0.2
13,2018-04-18 0:00:02,3,0.3,9,8.7
14,2018-04-19 0:00:02,9,5,7,2.0