A,B,C,D,E,R
5,9,9,1,8,9.55
8,8,0,9,5,32.65
6,1,8,8,6,7.75
8,3,1,6,1,8.25
7,8,0,2,4,9.55
3,6,6,5,7,17.25
0,10,1,6,3,26.45
2,8,9,3,3,12.05
5,7,8,2,7,10.85
10,1,8,7,7,08.05
0,8,6,10,9,38.65
4,4,7,6,4,12.75
6,5,8,0,1,01.05
3,4,5,5,10,15.35
7,6,8,1,4,5.55
7,0,2,0,10,7.35
0,1,2,1,2,2.15
5,6,9,10,1,25.05
5,5,10,8,6,20.55
9,2,3,7,0,5.95
10,7,10,2,8,11.55
10,3,5,0,0,0.35
4,8,9,1,1,4.25
9,8,2,7,9,29.05
7,10,4,5,10,27.35
7,8,10,7,1,23.45
1,2,1,8,4,9.55
7,0,1,5,5,3.85
0,9,1,2,2,8.95
9,9,9,5,2,19.75
2,10,1,2,6,12.55
9,2,7,7,0,5.95
0,2,5,2,8,7.55
7,4,7,9,1,15.45
6,7,0,5,6,18.55
10,0,1,7,2,1.75
6,1,6,7,4,5.95
4,4,3,2,1,4.25
7,7,0,2,9,12.25
5,6,6,9,6,26.15
10,4,8,5,0,8.35
2,1,6,5,0,2.35
0,2,5,7,9,12.25
1,7,7,8,3,24.85
3,0,2,9,9,6.65
10,9,6,6,0,21.95
1,10,5,4,8,21.95
9,10,2,2,0,8.35
3,0,7,1,7,5.25
0,10,5,10,0,40.35
9,2,9,8,2,8.15
10,4,6,3,9,11.45
3,10,4,7,4,31.15
6,10,2,4,4,19.15
7,2,4,8,8,12.35
2,7,4,1,9,9.45
0,5,1,3,4,9.15
4,6,0,4,9,16.25
4,0,10,2,6,4.55
6,10,10,4,6,20.55
3,6,0,3,1,8.25
7,7,1,1,4,5.95
0,7,9,1,6,7.35
3,9,7,6,1,22.65
7,1,2,1,7,5.65
3,4,9,10,1,17.05
5,5,9,7,10,21.35
5,4,0,1,7,6.85
6,0,0,7,9,6.65
5,8,6,1,5,07.05
5,2,2,2,0,1.95
8,9,9,0,1,01.05
7,2,0,7,4,8.75
2,4,10,1,4,4.75
0,3,4,2,0,2.75
3,0,10,1,0,0.35
9,5,10,8,5,19.85
10,9,6,1,7,8.85
10,7,10,0,4,3.15
9,4,3,5,4,11.15
2,1,10,7,10,10.15
1,3,5,4,0,5.15
4,4,6,3,2,6.55
1,0,6,0,4,3.15
4,10,5,4,2,17.75
8,6,8,1,4,5.55
7,0,7,10,1,01.05
9,8,7,10,3,34.45
10,5,7,3,8,11.95
6,3,2,8,8,15.55
3,6,9,1,7,7.65
3,10,5,4,2,17.75
0,7,4,3,7,13.65
6,8,5,9,0,29.15
5,9,2,2,2,8.95
4,1,1,2,4,3.95
9,1,9,2,4,3.95
10,0,10,3,3,2.45
0,4,1,8,1,13.85
4,4,10,3,8,10.75
9,9,2,7,1,26.25
0,10,5,7,1,29.05
1,10,4,1,6,8.55
4,7,9,9,1,26.25
10,3,8,10,10,19.35
10,4,10,8,7,18.05
7,1,5,0,9,6.65
9,0,7,8,10,7.35
3,9,6,4,1,15.45
9,4,9,3,9,11.45
8,9,5,1,3,06.05
4,1,2,6,7,7.65
9,10,6,3,2,13.75
2,10,3,4,4,19.15
7,8,3,1,4,6.35
6,0,10,3,7,5.25
2,7,9,10,5,31.85
0,8,4,6,3,21.65
2,6,5,0,3,2.45
7,7,3,6,10,24.15
0,8,1,3,7,14.85
6,3,2,1,5,05.05
1,6,2,2,9,11.45
10,5,0,1,8,7.95
10,4,4,4,10,13.75
10,5,10,9,7,23.25
3,10,1,4,8,21.95
8,1,6,9,1,4.65
7,3,0,6,5,11.05
10,9,9,3,2,12.55
3,5,9,10,5,23.85
0,7,3,10,10,35.35
1,0,9,7,7,5.25
4,3,0,10,2,13.75
9,8,5,2,9,13.05
1,10,9,2,2,9.75
4,2,5,9,8,13.15
2,4,10,7,8,17.15
0,7,7,4,9,17.85
7,6,4,8,3,21.65
1,6,5,0,3,2.45
6,1,3,0,5,3.85
10,0,7,2,10,7.35
2,10,8,4,3,18.45
2,2,1,1,0,1.15
10,2,5,4,5,07.05
7,9,0,9,3,34.85
4,4,6,10,1,17.05
5,4,7,9,5,18.25
9,3,6,3,0,3.95
8,9,1,3,0,11.15
0,2,8,8,3,8.85
5,4,7,10,1,17.05
9,4,4,4,1,7.45
9,2,2,4,6,7.75
3,2,5,0,3,2.45
6,10,10,5,2,21.75
5,9,8,1,1,4.65
2,2,0,10,7,13.25
1,6,8,2,2,6.55
5,4,8,4,2,8.15
3,10,2,4,6,20.55
7,10,9,9,0,36.35
8,2,10,3,10,9.75
10,8,8,5,3,18.45
4,2,3,9,8,13.15
9,7,9,3,9,15.05
8,10,9,3,7,17.25
4,6,10,2,6,9.35
7,7,2,6,2,18.55
10,9,10,0,5,3.85
9,5,1,3,10,13.35
7,0,0,4,3,2.45
4,7,2,1,6,7.35
5,10,2,7,4,31.15
10,4,0,2,10,10.55
1,5,7,0,6,4.55
6,3,6,6,2,8.95
5,8,2,5,7,21.25
2,3,5,4,0,5.15
2,6,0,5,1,13.05
6,3,4,10,2,13.75
8,9,6,9,8,38.35
0,6,0,9,6,26.15
7,1,2,2,10,8.15
9,7,5,6,0,17.15
9,2,4,8,3,8.85
10,2,0,7,7,10.85
1,5,3,6,2,13.75
8,1,0,1,0,0.75
3,4,7,7,7,16.45
6,1,5,2,7,06.05
0,4,7,1,9,8.25
6,7,9,8,1,23.45
6,2,3,6,3,7.25
4,5,0,7,5,17.85
4,8,3,5,6,20.55
2,1,7,2,4,3.95
10,5,8,3,3,8.45
1,2,0,3,7,7.65
7,6,0,7,9,
4,1,4,2,3,
5,1,7,1,2,
3,10,1,4,10,
2,10,3,2,10,
0,10,5,3,0,
7,2,5,6,1,
1,4,6,5,3,
2,4,3,4,5,
8,0,2,2,8,